Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats 
Ryan Flynn,St. Mirren,SCO 1,silver-nr,65,CM,500,64,58,66,66,59,62,2,3,M/M,Right,"1,759"
Jacob Mellis,Mansfield Town,ENG 4,silver-nr,65,CM,850,62,62,66,65,52,64,3,3,L/L,Right,"1,715"
Mark Oxley,Southend United,ENG 3,silver-nr,65,GK,1.2K,66,64,65,67,30,65,1,2,M/M,Right,787
Jimmy Ryan,Rochdale,ENG 3,silver-nr,65,CM,9K,61,56,64,66,59,67,3,3,L/M,Right,"1,718"
Claude Dielna,Portland Timbers,USA 1,silver-nr,65,CB,8.1K,62,47,52,51,62,78,2,3,M/M,Left,"1,597"
Jairo Gonzalez,Necaxa,MEX 1,silver-nr,65,LB,800,65,51,61,64,65,60,3,2,M/M,Left,"1,742"
Lars Krogh Gerson,IFK Norrköping,SWE 1,silver-nr,65,RWB,400,55,52,66,62,59,76,2,3,H/M,Right,"1,732"
Park Tae Min,Seongnam FC,KOR 1,silver-nr,65,LB,300,79,51,56,59,59,70,2,3,M/M,Right,"1,673"
Omar Mendoza,Club Tijuana,MEX 1,silver-nr,65,RB,300,68,32,54,60,62,73,2,3,M/M,Right,"1,562"
Carlos Gutierrez,Tiburones Rojos de Veracruz,MEX 1,silver-nr,65,LB,10K,76,53,61,68,60,62,3,2,H/M,Left,"1,737"
Richard Ruiz,Toluca,MEX 1,silver-nr,65,RB,800,68,57,61,65,60,70,3,4,H/M,Right,"1,741"
Liam Sercombe,Bristol Rovers,ENG 3,silver-nr,65,LM,1.9K,64,63,64,66,53,69,3,3,H/M,Right,"1,754"
Kevin Conboy,Randers FC,DEN 1,silver-nr,65,LB,10K,67,49,61,61,63,70,2,3,H/M,Left,"1,714"
Marc Pedersen,SønderjyskE,DEN 1,silver,65,CB,300,64,36,53,51,60,81,2,3,M/H,Right,"1,512"
Luis Ernesto Perez,Necaxa,MEX 1,silver-nr,65,CDM,10K,71,53,61,63,63,64,2,3,M/H,Right,"1,668"
Michal Buchalik,Wisła Kraków,POL 1,silver-nr,65,GK,10K,65,62,60,67,32,67,1,3,M/M,Right,763
Emanuel Schreiner,SCR Altach,AUT 1,silver-nr,65,LWB,750,69,53,59,63,61,71,2,3,M/M,Left,"1,702"
Tom Mickel,Hamburger SV,GER 2,silver-nr,65,GK,300,65,62,65,66,46,62,1,2,M/M,Right,781
David Ball,Wellington Phoenix,AUS 1,silver-nr,65,CAM,350,71,64,55,66,36,64,3,3,H/M,Right,"1,600"
Arnor Smarason,Lillestrøm SK,NOR 1,silver-nr,65,CAM,300,65,65,63,64,50,74,2,4,M/M,Right,"1,783"
Paddy Madden,Fleetwood Town,ENG 3,silver-nr,65,ST,3K,69,64,51,61,34,68,2,3,M/M,Right,"1,597"
Joseph Mills,Forest Green Rovers,ENG 4,silver-nr,65,LWB,1.3K,75,49,61,64,60,71,2,3,H/M,Left,"1,749"
David Templeton,Burton Albion,ENG 3,silver-nr,65,LM,3.2K,76,61,60,67,46,60,4,4,H/L,Right,"1,677"
Mark Marshall,Gillingham,ENG 3,silver,65,RM,950,89,58,59,68,42,62,3,5,H/M,Left,"1,674"
Curtis Main,Aberdeen,SCO 1,silver,65,ST,450,70,64,47,57,35,83,2,3,H/M,Right,"1,569"
Ryan McGowan,Sydney FC,AUS 1,silver-nr,65,CB,600,67,48,56,58,62,76,2,3,M/H,Right,"1,649"
Mattia Minesso,Pisa,ITA 2,silver-nr,65,CAM,400,77,61,59,68,31,57,3,3,H/L,Left,"1,625"
John Brayford,Burton Albion,ENG 3,silver-nr,65,RB,350,60,43,59,62,65,71,2,3,M/M,Right,"1,645"
Mustafa Abdellaoue,Sarpsborg 08 FF,NOR 1,silver-nr,65,ST,600,66,64,49,67,31,63,3,3,H/M,Right,"1,595"
Stian Ringstad,FK Haugesund,NOR 1,silver-nr,65,LB,3K,74,56,61,65,61,73,3,3,H/M,Left,"1,729"
Kristoffer Tokstad,Strømsgodset Toppfotball,NOR 1,silver,65,RM,300,79,60,61,64,46,75,2,2,M/M,Right,"1,728"
Mathis Bolly,Molde FK,NOR 1,silver,65,RM,2K,94,60,52,66,29,60,3,4,H/L,Right,"1,557"
Hope Akpan,Bradford City,ENG 4,silver,65,CDM,2K,68,55,57,63,63,80,2,2,L/M,Right,"1,740"
Jonathan Obika,St. Mirren,SCO 1,silver-nr,65,ST,400,71,62,43,61,36,71,2,2,M/M,Left,"1,529"
Yazalde,FC Hermannstadt,ROM 1,silver-nr,65,ST,10K,62,64,62,63,31,74,3,3,M/M,Right,"1,647"
Quincy Amarikwa,D.C. United,USA 1,silver-nr,65,ST,8K,73,61,55,66,28,71,3,3,H/H,Right,"1,599"
Jeong Hyuk,Jeonbuk Hyundai Motors,KOR 1,silver-nr,65,CM,400,60,57,67,66,60,69,2,3,M/M,Right,"1,796"
Yasin Pehlivan,Gençlerbirligi,TUR 1,silver-nr,65,CDM,8K,70,58,57,63,59,70,2,4,M/H,Right,"1,702"
Luke Garbutt,Ipswich Town,ENG 3,silver-nr,65,LB,9K,64,54,66,65,61,67,3,3,H/M,Left,"1,775"
Adam Matuszczyk,KFC Uerdingen 05,GER 3,silver-nr,65,CDM,300,62,62,63,65,63,64,2,4,M/M,Right,"1,771"
Lee Novak,Scunthorpe United,ENG 4,silver-nr,65,ST,2K,59,65,57,60,41,75,2,4,H/H,Right,"1,669"
Steven Vitoria,Moreirense,POR 1,silver,65,CB,4.5K,34,54,51,48,60,76,2,3,M/M,Right,"1,485"
Mirko Carretta,Cosenza,ITA 2,silver,65,CF,300,91,54,59,68,35,61,2,3,H/M,Left,"1,578"
Grzegorz Kuswik,Wisła Płock,POL 1,silver-nr,65,ST,2.2K,68,62,56,64,30,67,3,2,H/H,Right,"1,596"
Danny Mayor,Plymouth Argyle,ENG 4,silver-nr,65,CM,400,72,62,63,72,43,64,4,3,H/L,Right,"1,695"
Piotr Tomasik,Wisła Płock,POL 1,silver-nr,65,LB,750,72,51,62,60,60,72,2,3,H/M,Left,"1,729"
Ash Taylor,Aberdeen,SCO 1,silver-nr,65,CB,200,59,36,41,48,62,78,2,2,M/M,Right,"1,423"
Thomas Konrad,VfL Osnabrück,GER 2,silver-nr,65,CB,1.5K,67,30,32,37,66,69,2,3,M/M,Right,"1,332"
Luis Madrigal,Guadalajara,MEX 1,silver-nr,65,ST,9.9K,35,64,59,58,36,73,2,3,H/L,Right,"1,487"
Matty Lund,Scunthorpe United,ENG 4,silver-nr,65,CM,8.8K,67,60,62,61,64,74,2,3,M/M,Right,"1,763"
Kyle Bennett,Bristol Rovers,ENG 3,silver-nr,65,LM,1K,81,56,57,67,36,50,4,3,H/M,Right,"1,573"
Alberto Gerbo,Ascoli,ITA 2,silver-nr,65,RM,3.6K,79,51,59,67,50,62,2,3,M/H,Right,"1,678"
Frank Nouble,Colchester United,ENG 4,silver,65,ST,4.7K,82,62,55,63,41,77,3,4,M/M,Right,"1,655"
Paolo Branduani,Juve Stabia,ITA 2,silver,65,GK,950,62,67,60,66,55,65,1,2,M/M,Right,813
Simon Jakobsen,Silkeborg IF,DEN 1,silver-nr,65,CB,3.4K,61,32,52,52,62,73,2,3,H/H,Right,"1,428"
Aaron Wildig,Morecambe,ENG 4,silver-nr,65,CAM,2.5K,70,58,61,66,42,62,3,3,H/L,Right,"1,629"
Lee Brown,Portsmouth,ENG 3,silver-nr,65,LB,1K,71,54,60,61,63,76,2,2,H/H,Left,"1,769"
Nils Miatke,FSV Zwickau,GER 3,silver-nr,65,LM,700,79,50,60,68,61,64,3,3,M/M,Left,"1,760"
Michal Chrapek,Śląsk Wrocław,POL 1,silver-nr,65,CDM,600,61,60,63,68,63,58,3,3,H/M,Right,"1,715"
Omar Beckles,Shrewsbury Town,ENG 3,silver-nr,65,CB,800,60,27,47,56,63,75,2,3,M/H,Left,"1,435"
Tom Parkes,Exeter City,ENG 4,silver,65,CB,300,57,33,51,53,60,80,2,2,M/M,Left,"1,467"
David Amoo,Port Vale,ENG 4,silver,65,RM,900,90,58,56,67,38,63,3,3,H/M,Right,"1,640"
Umaru Bangura,FC Zürich,CHE 1,silver,65,CB,300,76,48,58,58,61,77,2,3,L/H,Right,"1,718"
Mohammed Fayez,Al Ain FC,UAE 1,silver-nr,65,LB,300,74,33,56,60,63,70,2,3,M/M,Left,"1,583"
Jason Davidson,Ulsan Hyundai,KOR 1,silver-nr,65,LWB,200,67,49,60,63,60,65,3,2,M/M,Left,"1,642"
Martin Lorentzson,Örebro SK,SWE 1,silver-nr,65,CB,7.5K,55,45,58,59,65,64,2,2,M/M,Right,"1,626"
Eric Alexander,FC Dallas,USA 1,silver-nr,65,CDM,9K,58,59,64,64,58,69,3,3,M/H,Right,"1,703"
Seth Sinovic,Sporting KC,USA 1,silver-nr,65,LB,8K,57,41,61,63,67,65,2,2,M/M,Left,"1,594"
Jake Jervis,Salford City,ENG 4,silver,65,ST,600,83,60,53,63,34,69,2,3,M/M,Right,"1,540"
Wang Gang,Beijing Sinobo Guoan,CHN 1,silver,65,RB,3.6K,77,54,60,63,59,78,3,3,H/M,Right,"1,707"
Viktor Prodell,Örebro SK,SWE 1,silver-nr,65,ST,750,71,61,48,58,29,68,2,2,M/L,Right,"1,492"
Yang Jun A,Incheon United,KOR 1,silver-nr,65,CB,850,51,56,56,60,62,75,2,3,M/M,Left,"1,694"
Patrick Salomon,SV Mattersburg,AUT 1,silver-nr,65,CM,700,61,56,60,64,59,71,2,3,M/M,Right,"1,734"
Guillermo Allison,Cruz Azul,MEX 1,silver-nr,65,GK,500,64,66,65,62,36,65,1,3,M/M,Right,794
Dionicio Escalante,Atletico de San Luis,MEX 1,silver-nr,65,CB,800,63,49,60,57,61,71,2,3,L/M,Left,"1,612"
Manfred Gollner,Wolfsberger AC,AUT 1,silver-nr,65,CB,800,54,23,43,52,65,72,2,3,M/M,Left,"1,339"
Michael Novak,Wolfsberger AC,AUT 1,silver-nr,65,RB,5K,72,41,56,65,64,69,2,3,M/M,Right,"1,622"
Clevid Dikamona,Heart of Midlothian,SCO 1,silver-nr,65,CB,700,61,22,43,51,59,78,2,3,M/M,Right,"1,323"
Johan Bertilsson,Örebro SK,SWE 1,silver-nr,65,RW,1K,71,61,63,65,32,59,3,2,M/L,Right,"1,634"
Tanju Ozturk,Hansa Rostock,GER 3,silver,65,CDM,1K,46,43,54,54,65,76,2,4,M/M,Right,"1,515"
Christopher Routis,Servette FC,CHE 1,silver-nr,65,CB,300,56,53,61,61,62,74,2,3,M/M,Right,"1,670"
Tom Eastman,Colchester United,ENG 4,silver-nr,65,CB,900,37,32,50,55,64,77,2,3,H/H,Right,"1,405"
Moises Hernandez,FC Dallas,USA 1,silver-nr,65,LB,10K,75,49,58,58,63,67,2,3,M/M,Left,"1,657"
Giacomo Beretta,Ascoli,ITA 2,silver-nr,65,ST,350,68,63,50,59,24,74,2,4,M/L,Right,"1,532"
Mihai Radut,Astra Giurgiu,ROM 1,silver-nr,65,LM,200,77,59,61,66,43,65,3,4,M/L,Right,"1,675"
Ollie Banks,Tranmere Rovers,ENG 3,silver-nr,65,CM,650,54,60,64,61,60,75,2,4,H/L,Right,"1,745"
Fran Cruz,Extremadura UD,ESP 2,silver-nr,65,CB,300,56,36,50,51,61,77,2,3,M/M,Right,"1,523"
Steven Lawless,Livingston,SCO 1,silver-nr,65,RWB,550,72,61,61,67,56,64,3,4,H/M,Left,"1,770"
Maximilian Schulze Niehues,Preußen Münster,GER 3,silver-nr,65,GK,200,64,66,62,63,40,66,1,3,M/M,Right,762
Malek Chergui,Valenciennes FC,FRA 2,silver-nr,65,RM,500,73,62,59,67,31,60,3,2,M/M,Left,"1,623"
Yi Teng,Guangzhou RF,CHN 1,silver-nr,65,CB,400,41,37,46,40,63,77,2,3,L/M,Right,"1,363"
Rafal Janicki,Wisła Kraków,POL 1,silver-nr,65,CB,600,52,35,57,52,62,74,2,2,M/M,Right,"1,522"
Jon Kempin,Columbus Crew SC,USA 1,silver,65,GK,3K,67,65,68,66,57,64,1,2,M/M,Right,790
Joe Bendik,Philadelphia Union,USA 1,silver-nr,65,GK,800,67,62,63,65,36,63,1,3,M/M,Left,678
Dario Tadic,TSV Hartberg,AUT 1,silver-nr,65,ST,650,75,66,55,65,28,71,3,4,M/M,Right,"1,641"
Carl Winchester,Forest Green Rovers,ENG 4,silver-nr,65,CM,5K,72,60,64,67,57,73,3,3,H/M,Right,"1,788"
Ethan Ebanks-Landell,Shrewsbury Town,ENG 3,silver-nr,65,CB,200,60,48,49,53,64,72,2,3,M/M,Right,"1,513"
Stephen McLaughlin,Southend United,ENG 3,silver-nr,65,RM,10K,75,60,61,66,27,62,3,3,H/M,Left,"1,591"
Azbe Jug,Fortuna Sittard,NED 1,silver,65,GK,600,66,61,59,64,52,64,1,3,M/M,Right,827
Simone Calvano,Juve Stabia,ITA 2,silver-nr,65,CM,350,66,53,66,64,53,62,2,3,M/M,Right,"1,625"
Luuk Koopmans,ADO Den Haag,NED 1,silver-nr,65,GK,400,64,63,63,65,40,64,1,3,M/M,Right,819
Jordan Clark,Accrington Stanley,ENG 3,silver-nr,65,RM,2.4K,80,56,61,66,47,61,3,3,H/M,Right,"1,681"
Francesco Ardizzone,Virtus Entella,ITA 2,silver-nr,65,CM,7.5K,69,54,62,65,62,63,3,3,M/M,Right,"1,710"
Alvaro Rey,CD Mirandes,ESP 2,silver-nr,65,RM,300,70,53,61,67,43,62,3,4,M/M,Right,"1,605"
Michael Doughty,Swindon Town,ENG 4,silver-nr,65,CM,200,63,60,66,65,53,70,3,4,M/M,Left,"1,748"
Kristoffer Larsen,Sarpsborg 08 FF,NOR 1,silver-nr,65,LM,10K,72,61,58,69,36,59,3,4,M/M,Right,"1,590"
Matt Crooks,Rotherham United,ENG 3,silver,65,CM,300,66,54,58,64,60,77,2,2,M/M,Right,"1,670"
Jordan Graham,Wolverhampton Wanderers,ENG 1,silver-nr,65,LM,10K,77,58,61,69,27,47,4,5,M/L,Right,"1,554"
Martin Angha,Fortuna Sittard,NED 1,silver-nr,65,CB,1.2K,71,36,54,62,62,71,2,3,M/M,Right,"1,567"
Nicolas Mezquida,Colorado Rapids,USA 1,silver-nr,65,CAM,500,58,60,61,70,35,44,3,3,H/L,Right,"1,570"
Roope Riski,SKN St. Pölten,AUT 1,silver,65,ST,2.6K,83,63,53,66,41,59,3,4,H/L,Right,"1,667"
Lee Woong Hee,FC Seoul,KOR 1,silver-nr,65,CB,4K,72,29,52,58,63,73,2,3,M/H,Right,"1,522"
Joe Riley,Plymouth Argyle,ENG 4,silver-nr,65,RB,3.2K,78,54,57,64,63,67,2,4,M/H,Right,"1,709"
Alex Cairns,Fleetwood Town,ENG 3,silver-nr,65,GK,1.4K,64,61,58,68,49,65,1,3,M/M,Left,694
Ellis Harrison,Portsmouth,ENG 3,silver,65,ST,400,82,60,52,63,38,76,3,4,H/M,Right,"1,681"
Lloyd Isgrove,Swindon Town,ENG 4,silver-nr,65,RM,2.5K,85,51,58,67,34,57,3,3,M/M,Right,"1,557"
Erik Tonne,Ranheim Fotball,NOR 1,silver,65,LW,300,73,58,65,65,56,69,3,4,H/M,Left,"1,739"
Ouasim Bouy,Leeds United,ENG 2,silver-nr,65,CDM,,55,58,69,64,62,61,3,3,M/M,Left,"1,724"
Marc Pfitzner,Eintracht Braunschweig,GER 3,silver-nr,65,CDM,1K,47,61,58,58,63,74,2,3,M/H,Right,"1,721"
Alessandro Bruno,Pescara,ITA 2,silver-nr,65,CM,450,41,48,62,62,62,68,2,3,M/H,Right,"1,613"
Paul Delecroix,FC Metz,FRA 1,silver-nr,65,GK,2.5K,64,65,62,65,28,66,1,4,M/M,Right,775
Lorenzo Burnet,FC Emmen,NED 1,silver-nr,65,LB,4.3K,74,42,59,66,63,63,3,2,H/M,Left,"1,647"
Daniel Drescher,SKN St. Pölten,AUT 1,silver,65,CB,400,34,23,40,41,64,70,2,3,M/M,Left,"1,204"
Samuel Scheimann,VVV-Venlo,NED 1,silver,65,LB,10K,69,62,61,62,61,73,2,3,H/M,Left,"1,787"
Darren Maatsen,RKC Waalwijk,NED 1,silver,65,RW,4.1K,92,58,53,66,37,61,3,3,M/M,Right,"1,604"
Kevin Rimane,FC Hermannstadt,ROM 1,silver-nr,65,CB,,63,34,55,54,63,70,2,3,L/M,Right,"1,546"
Ousseynou Cisse,Gillingham,ENG 3,silver,65,CDM,9.3K,48,48,55,57,63,83,2,3,M/M,Left,"1,550"
Nicky Devlin,Livingston,SCO 1,silver,65,RB,500,89,52,55,60,57,78,2,3,H/H,Right,"1,710"
Ryan Jackson,Colchester United,ENG 4,silver,65,RB,2.7K,85,53,56,64,58,74,2,3,M/M,Right,"1,734"
Anthony O'Connor,Bradford City,ENG 4,silver-nr,65,CB,1.5K,67,44,57,61,62,76,2,3,M/M,Right,"1,647"
Jak Alnwick,Blackpool,ENG 3,silver-nr,65,GK,650,66,65,61,66,46,64,1,2,M/M,Left,916
Janek Sternberg,1. FC Kaiserslautern,GER 3,silver-nr,65,LB,550,72,48,60,61,61,71,3,2,H/M,Left,"1,674"
Dylan McGowan,Western Sydney Wanderers,AUS 1,silver-nr,65,CB,200,46,47,51,56,63,75,2,2,M/H,Right,"1,538"
Pascal Breier,Hansa Rostock,GER 3,silver-nr,65,ST,300,68,61,58,65,33,73,3,3,H/M,Right,"1,637"
Ryan Inniss,Newport County,ENG 4,silver,65,CB,1.3K,32,33,42,39,63,77,2,3,M/H,Right,"1,311"
Matt Ingram,Hull City,ENG 2,silver-nr,65,GK,3.9K,69,64,62,68,36,63,1,3,M/M,Left,696
Sido Jombati,Wycombe Wanderers,ENG 3,silver-nr,65,CB,1.4K,66,37,53,54,63,71,2,3,M/M,Right,"1,557"
David Andrade,Santos Laguna,MEX 1,silver-nr,65,LWB,700,67,48,60,67,60,51,3,3,H/M,Left,"1,624"
Issiaka Ouedraogo,SKN St. Pölten,AUT 1,silver,65,ST,450,83,64,46,68,22,68,2,3,M/L,Right,"1,528"
Menno Koch,Eupen,BEL 1,silver,65,CB,5.6K,35,31,48,50,65,67,2,3,L/M,Right,"1,387"
Papa Demba Camara,Grenoble Foot 38,FRA 2,silver-nr,65,GK,4K,74,61,59,66,48,60,1,3,M/M,Right,702
Lukas Droppa,Gaz Metan Mediaș,ROM 1,silver-nr,65,CDM,200,61,49,60,56,61,73,2,3,M/M,Right,"1,612"
Jake Caprice,Tranmere Rovers,ENG 3,silver-nr,65,RB,1.6K,80,51,57,63,60,67,2,4,H/M,Right,"1,686"
Sebastian Rodriguez,Tiburones Rojos de Veracruz,MEX 1,silver-nr,65,CM,9.9K,58,42,62,64,51,59,2,3,M/H,Right,"1,561"
Soufian Benyamina,Pogoń Szczecin,POL 1,silver-nr,65,ST,9.9K,71,62,42,64,34,71,3,3,M/M,Right,"1,531"
Adria Gallego,Politehnica Iași,ROM 1,silver-nr,65,RB,9.6K,77,39,54,53,61,72,2,3,M/M,Right,"1,585"
James Husband,Blackpool,ENG 3,silver-nr,65,LB,400,67,50,56,63,63,62,3,3,H/M,Left,"1,643"
Charles Dunne,Motherwell,SCO 1,silver,65,CB,4.2K,83,38,48,57,63,74,2,2,M/H,Left,"1,594"
Selim Gunduz,KFC Uerdingen 05,GER 3,silver-nr,65,RM,10K,81,57,57,67,49,70,3,3,H/M,Right,"1,714"
Harry Toffolo,Lincoln City,ENG 3,silver-nr,65,LB,10K,76,52,60,63,61,67,2,2,H/M,Left,"1,715"
Devante Cole,Motherwell,SCO 1,silver,65,ST,1.9K,90,63,47,63,25,59,2,3,M/L,Right,"1,492"
Lawrence Olum,Minnesota United FC,USA 1,silver-nr,65,CB,4.4K,37,49,54,53,61,74,2,3,M/H,Right,"1,511"
Luca Maniero,Cittadella,ITA 2,silver-nr,65,GK,300,65,66,60,67,40,65,1,3,M/M,Right,729
Ollie Norburn,Shrewsbury Town,ENG 3,silver-nr,65,CM,500,74,61,64,66,52,76,3,3,M/M,Right,"1,766"
Nicolas Hasler,Sporting KC,USA 1,silver-nr,65,RB,10K,67,51,62,66,63,67,3,3,M/H,Right,"1,714"
Daniel Georgievski,Western Sydney Wanderers,AUS 1,silver-nr,65,LB,750,70,56,59,62,62,77,2,4,H/M,Right,"1,727"
Joe Pigott,AFC Wimbledon,ENG 3,silver-nr,65,ST,500,68,63,48,64,26,65,2,3,M/M,Right,"1,504"
Ezekiel Fryers,Swindon Town,ENG 4,silver-nr,65,LB,750,74,40,57,64,63,67,2,2,M/M,Left,"1,660"
Jordan Willis,Sunderland,ENG 3,silver,65,CB,350,77,25,43,57,63,72,2,3,M/M,Right,"1,491"
Christy Pym,Peterborough United,ENG 3,silver-nr,65,GK,450,66,63,65,69,46,64,1,4,M/M,Right,802
Matt Lampson,Los Angeles Galaxy,USA 1,silver-nr,65,GK,10K,64,65,66,66,46,66,1,2,M/M,Right,865
Jose Valencia,Central Cordoba,ARG 1,silver-nr,65,ST,10K,69,62,39,64,24,78,3,4,H/M,Right,"1,486"
Ahmed Issa Koro Kone,Servette FC,CHE 1,silver-nr,65,ST,500,79,62,52,67,25,55,2,3,M/L,Right,"1,540"
Warren Creavalle,Philadelphia Union,USA 1,silver-nr,65,CDM,700,71,49,56,64,63,72,2,3,L/H,Right,"1,647"
Connor Jennings,Tranmere Rovers,ENG 3,silver-nr,65,LM,1.6K,77,63,60,63,35,62,2,3,M/M,Right,"1,588"
Lukas Grozurek,Karlsruher SC,GER 2,silver,65,LM,400,76,62,57,64,35,72,3,4,M/M,Right,"1,604"
Abdullah Al Hafith,Al Hilal,SAU 1,silver-nr,65,CB,950,37,36,49,43,63,78,2,3,M/H,Right,"1,425"
Patryk Tuszynski,Piast Gliwice,POL 1,silver-nr,65,ST,400,67,63,56,62,37,61,3,3,M/M,Right,"1,554"
Michal Mak,Wisła Kraków,POL 1,silver-nr,65,LM,700,83,63,59,66,27,42,3,4,M/M,Right,"1,582"
Paul Fadiala Keita,Waasland-Beveren,BEL 1,silver,65,CDM,900,61,33,53,58,64,73,2,3,M/M,Right,"1,489"
Moon Chang Jin,Incheon United,KOR 1,silver-nr,65,CM,10K,72,60,66,70,41,54,3,4,H/M,Right,"1,640"
Dani Barrio,CD Numancia,ESP 2,silver-nr,65,GK,700,66,65,62,70,49,65,1,3,M/M,Right,827
Julian Schauerte,Preußen Münster,GER 3,silver-nr,65,RB,200,69,40,60,63,64,65,2,3,M/M,Right,"1,681"
Ryan Edwards,Blackpool,ENG 3,silver-nr,65,CB,600,57,34,42,43,67,68,2,3,M/M,Right,"1,449"
Zlatan Alomerovic,Lechia Gdańsk,POL 1,silver-nr,65,GK,200,64,62,63,68,37,63,1,2,M/M,Right,735
Morgan Fox,Sheffield Wednesday,ENG 2,silver-nr,65,LB,5.5K,63,42,54,61,65,69,2,2,M/M,Left,"1,594"
Baptiste Aloe,Valenciennes FC,FRA 2,silver-nr,65,CB,10K,48,32,39,44,67,69,2,3,M/M,Right,"1,363"
Alassane N'Diaye,Clermont Foot,FRA 2,silver,65,LM,1.5K,86,62,53,70,27,58,3,3,H/M,Right,"1,610"
Jim-Patrick Muller,SpVgg Unterhaching,GER 3,silver-nr,65,RM,850,80,59,58,66,39,65,2,4,H/M,Right,"1,642"
Mande Sayouba,Odense Boldklub,DEN 1,silver-nr,65,GK,3K,66,62,61,68,44,63,1,2,M/M,Right,798
Mustafa Malaeka,Al Faisaly,SAU 1,silver-nr,65,GK,1.9K,65,64,66,67,47,63,1,4,M/M,Right,786
Tawfiq Bu Haymid,Al Fateh,SAU 1,silver-nr,65,LB,500,72,60,63,63,58,72,2,3,H/H,Left,"1,804"
Patrick Wiegers,Dynamo Dresden,GER 2,silver-nr,65,GK,550,65,66,61,68,45,59,1,2,M/M,Right,776
Elson Hooi,ADO Den Haag,NED 1,silver,65,LW,2.9K,91,54,57,69,24,43,3,3,M/M,Right,"1,547"
Luca Verna,Pisa,ITA 2,silver-nr,65,CM,1K,64,47,60,63,60,68,2,4,H/M,Right,"1,608"
Brito,Dinamo București,ROM 1,silver-nr,65,RW,2K,81,59,59,67,27,63,3,4,H/M,Right,"1,629"
Jerome Phojo,Clermont Foot,FRA 2,silver-nr,65,RB,500,70,37,57,63,62,66,2,3,M/H,Right,"1,553"
Brendan Galloway,Luton Town,ENG 2,silver-nr,65,LB,10K,73,38,57,58,64,64,2,3,M/M,Left,"1,562"
Kgotso Moleko,Kaizer Chiefs,ZAF 1,silver-nr,65,RB,350,77,49,60,66,63,57,3,2,M/M,Right,"1,645"
Mitchell Duke,Western Sydney Wanderers,AUS 1,silver,65,LM,400,80,66,58,64,52,72,3,3,H/M,Right,"1,729"
Bjorn Jopek,Hallescher FC,GER 3,silver-nr,65,CM,450,72,58,66,70,48,65,3,2,H/M,Left,"1,751"
Christian Burgess,Portsmouth,ENG 3,silver,65,CB,2K,55,26,44,51,63,79,2,3,M/H,Right,"1,380"
Ivan Crespo,Racing de Santander,ESP 2,silver-nr,65,GK,300,64,70,57,65,32,66,1,3,M/M,Left,834
Ibrahim Al Zubaidi,Al Taawoun,SAU 1,silver-nr,65,LB,550,74,33,56,64,59,67,2,3,H/M,Left,"1,566"
Reagy Ofosu,FC Botoșani,ROM 1,silver,65,LM,8.5K,90,56,57,67,30,59,3,3,M/M,Right,"1,589"
Charalampos Lykogiannis,Cagliari,ITA 1,silver,65,LB,5.5K,68,68,65,61,61,67,2,3,H/M,Left,"1,767"
Brad Smith,Seattle Sounders,USA 1,silver-nr,65,LB,3K,78,43,58,64,62,64,2,3,H/M,Left,"1,635"
Dimitry Imbongo Boele,SG Sonnenhof Großaspach,GER 3,silver-nr,65,ST,3K,68,64,55,59,26,75,3,4,H/M,Right,"1,588"
Jin Seong Wook,Sangju Sangmu,KOR 1,silver-nr,65,ST,300,74,60,49,63,26,75,2,4,H/M,Left,"1,524"
Aqeel Al Sahabi,Al Faisaly,SAU 1,silver-nr,65,CB,2K,65,33,46,58,64,72,2,3,M/M,Right,"1,479"
Alhaji Kamara,Randers FC,DEN 1,silver-nr,65,ST,400,77,61,45,59,24,78,2,2,H/M,Right,"1,541"
Hassan Kadish,Al Hilal,SAU 1,silver-nr,65,LB,3.7K,73,42,58,60,63,74,2,3,M/M,Left,"1,677"
Lee Chang Geun,Jeju United,KOR 1,silver-nr,65,GK,,66,64,63,66,45,62,1,3,M/M,Right,827
Lucas Hagg-Johansson,Kalmar FF,SWE 1,silver-nr,65,GK,300,66,62,64,65,38,64,1,3,M/M,Right,718
Callum McFadzean,Plymouth Argyle,ENG 4,silver-nr,65,LWB,1.3K,79,50,60,65,59,58,3,3,M/M,Left,"1,650"
Fabrice Olinga,Mouscron,BEL 1,silver-nr,65,LM,250,73,56,59,72,19,47,3,3,M/L,Right,"1,490"
Andrea Tabanelli,Lecce,ITA 1,silver,65,CM,2.7K,60,54,63,65,47,67,2,3,M/M,Right,"1,621"
Nico Hidalgo,Racing de Santander,ESP 2,silver-nr,65,RM,1K,76,55,60,69,48,61,3,3,M/M,Right,"1,662"
Adam Dzwigala,Desportivo Aves,POR 1,silver-nr,65,CB,3K,67,43,51,54,61,71,2,3,M/M,Right,"1,607"
Caolan Lavery,Walsall,ENG 4,silver-nr,65,ST,1K,75,65,56,66,36,66,3,3,H/M,Right,"1,667"
Higinio,CD Numancia,ESP 2,silver-nr,65,ST,3.1K,65,64,51,62,36,61,3,2,H/M,Right,"1,537"
Shane O'Neill,Orlando City SC,USA 1,silver-nr,65,CB,10K,61,51,57,60,61,70,2,2,M/M,Right,"1,603"
Manuel Stiefler,Karlsruher SC,GER 2,silver-nr,65,CM,1.5K,74,50,64,68,46,68,2,4,H/H,Right,"1,670"
